n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
168,2022-08-25,9tv.co.il,ru,ru,"Опросы: партия бывшего соратника Авигдора Либермана тонет при любом раскладе, израильтяне ""на дух"" не переносят ""сионистов""",https://9tv.co.il/item/48732,news,poll,polls,Channel 13 ITV (Kan 13),Israeli public television,61,0.3,0.5,n/a,,0.65,bloc61,"Согласно данным этого опроса, ""блок ближайших сторонников Нетаниягу"" получает 61 мандат и сумеет сформировать правительство.","According to this poll, 'the bloc of Netanyahu's closest supporters' receives 61 seats and will be able to form a government.","Three Israeli TV polls show conflicting results: Channel 13 projects Netanyahu's bloc at exactly 61 seats and able to form government, while Channels 11 and 12 project 52–53 seats for the anti-Netanyahu bloc; commentators expect one opposition party may join Netanyahu despite boycott rhetoric.",True,wayback,20220825120015
169,2022-08-26,srugim.co.il,he,he,סקר: סמוטריץ' נחלש; בן גביר מתחזק; הימין מתרחק מ-61,https://srugim.co.il/705368-%D7%A1%D7%A7%D7%A8-%D7%A1%D7%9E%D7%95%D7%98%D7%A8%D7%99%D7%A5-%D7%A0%D7%97%D7%9C%D7%A9-%D7%91%D7%9F-%D7%92%D7%91%D7%99%D7%A8-%D7%9E%D7%AA%D7%97%D7%96%D7%A7-%D7%94%D7%99%D7%9E%D7%99%D7%9F-%D7%9E,poll,poll,polls,Panels Politics,Panels Politics for Maariv,58,-0.6,0.85,deadlock,,0.2,no61,"על פי הסקר של מכון 'פאנלס פוליטקס' עבור 'מעריב', לו הבחירות היו נערכות היום מפלכת הליכוד הייתה מקבלת 31 מנדטים... עוצמה יהודית וש""ס עם 8 מנדטים כל אחת. יהדות התורה בראשות משה גפני מקבלת 7 מנדטים.","According to the Panels Politics poll for Maariv, if elections were held today Likud would receive 31 seats... Otzma Yehudit and Shas with 8 seats each. United Torah Judaism under Moshe Gafni receives 7 seats.","A Panels Politics poll projects Netanyahu's bloc (Likud 31 + Otzma Yehudit 8 + Shas 8 + United Torah Judaism 7 = 54 seats, or 58 if Religious Zionism runs separately) falling short of 61 seats, with the headline stating 'the right moves away from 61.'",True,live,
170,2022-08-26,israelnationalnews.com,en,il_en,Poll: Likud-led bloc wins 59 - if Otzma Yehudit and Religious Zionism run together,https://israelnationalnews.com/news/358778,poll,poll,polls,Midgam Research and Consulting,Channel 12 News,59,-0.4,0.95,deadlock,,0.3,no61,"A new poll conducted for Channel 12 News showed that if the Otzma Yehudit and Religious Zionism parties run together, the Likud-led bloc will win 59 Knesset seats.","A new poll conducted for Channel 12 News showed that if the Otzma Yehudit and Religious Zionism parties run together, the Likud-led bloc will win 59 Knesset seats.",Midgam poll for Channel 12 projects Netanyahu's bloc at 59 seats if Otzma Yehudit and Religious Zionism run together—two short of the 61-seat majority needed.,True,live,
171,2022-08-26,maariv.co.il,he,he,על פי הסקרים נראה ששקד ושותפיה לרשימה יצפו בדיוני הכנסת מהבית,https://maariv.co.il/journalists/Article-941492,opinion,author,media,,Maariv,,0,0,unclear,,0.5,uncertain,על פי הסקרים נראה ששקד ושותפיה לרשימה יצפו בדיוני הכנסת מהבית... כמעט בכל הסקרים לא עוברת את אחוז החסימה.,"According to polls, it appears that Shaked and her list partners will watch Knesset debates from home... in almost all polls she does not pass the electoral threshold.","The author expresses skepticism about Ayelet Shaked's chances of entering the next Knesset, comparing her electoral prospects to lottery odds, but does not directly assess Netanyahu's bloc's path to 61 seats.",False,live,
172,2022-08-26,maariv.co.il,he,he,בחירות 2022: נתניהו זימן את סמוטריץ' ובן גביר לקיסריה שיתאחדו,https://maariv.co.il/elections-2022/Article-941595,news,poll,polls,Maariv,Maariv,,0,0.3,unclear,,0.5,uncertain,"בסקר מעריב שפורסם היום נמצא כי בן גביר ועוצמה יהודית מקבלים 8 מנדטים, אך רשימת הציונות הדתית נחלשת במנדט אחד ומתקרבת לאחוז החסימה עם 3.7%, שמקנים לה 4 מנדטים בלבד.","In the Maariv poll published today, Ben-Gvir and Otzma Yehudit receive 8 seats, but the Religious Zionism list weakened by one seat and approaches the blocking threshold at 3.7%, giving it only 4 seats.","A Maariv poll shows Religious Zionism at risk of falling below the threshold (3.7%, 4 seats) while Otzma Yehudit gets 8 seats; a unified right-religious list would gain 13 seats combined, but the article does not project the full bloc's total seats or likelihood of reaching 61.",True,live,
173,2022-08-26,washingtoninstitute.org,en,intl,What If Netanyahu Wins?,https://washingtoninstitute.org/policy-analysis/what-if-netanyahu-wins,analysis,analyst,media,Amir Fuchs,Israel Democracy Institute,,0.35,0.6,n/a,,0.675,bloc61,"Current opinion polls have the Likud remaining the largest party by a wide margin, with the pro-Netanyahu ""bloc"" of parties—Likud, the ultra-Orthodox factions and the far-right Religious Zionism—within spitting distance of an outright 61-seat majority in Parliament... The upcoming election is still too close to call, but regardless, the margins will assuredly be extremely fine—one or two seats in either direction will likely be the difference between a Netanyahu victory and defeat.","Current opinion polls have the Likud remaining the largest party by a wide margin, with the pro-Netanyahu ""bloc"" of parties—Likud, the ultra-Orthodox factions and the far-right Religious Zionism—within spitting distance of an outright 61-seat majority in Parliament... The upcoming election is still too close to call, but regardless, the margins will assuredly be extremely fine—one or two seats in either direction will likely be the difference between a Netanyahu victory and defeat.","Analyst Amir Fuchs and author Neri Zilber report that current polls show Netanyahu's bloc within striking distance of a 61-seat majority, but characterize the race as too close to call with razor-thin margins likely deciding the outcome.",True,live,
174,2022-08-27,bhol.co.il,he,he,נתניהו מסתער לעבר ה-61: כך צפוי להתנהל קמפיין הבחירות שלו,https://bhol.co.il/news/1432337,news,author,media,Moran Azulay (Yedioth Ahronoth) and Anna Breski (Maariv),bhol.co.il (citing Yedioth Ahronoth and Maariv),,0.5,0.6,n/a,,0.75,bloc61,"נתניהו הגדיר את המלחמה בשאננות כיעד מרכזי בקמפיין הנוכחי, והוא סבור שזה המרכיב שיספק את שובר השיוויון ויעביר את הגוש מעל 61 מנדטים.","Netanyahu defined the fight against apathy as a central goal in the current campaign, and he believes this is the component that will provide the tiebreaker and move the bloc above 61 mandates.","Netanyahu's campaign strategy aims to break the tie between blocs and reach 61+ seats by mobilizing apathetic Likud voters in key cities, though internal party tensions and campaign restructuring create uncertainty.",True,wayback,20220827172359
175,2022-08-29,jewishpress.com,en,il_en,"Poll Gives Smotrich-Ben Gvir Union 12 Mandates, Netanyahu's Block Stuck at 59 | The Jewish Press - JewishPress.com | David Israel | 2 Elul 5782 – August 29, 2022",https://jewishpress.com/news/israel/poll-gives-smotrich-ben-gvir-union-12-mandates-netanyahus-block-stuck-at-59/2022/08/29,poll,poll,polls,Panels Politics,Menachem Lazar / Radio 103FM,59,-0.4,0.85,deadlock,,0.3,no61,Netanyahu's right-wing bloc reaches only 59 mandates... the side that's expected to get the first crack at forging a coalition government – Benjamin Netanyahu et al – is still stuck without the necessary 61 mandates,Netanyahu's right-wing bloc reaches only 59 mandates... the side that's expected to get the first crack at forging a coalition government – Benjamin Netanyahu et al – is still stuck without the necessary 61 mandates,"A Panels Politics poll projects Netanyahu's bloc at 59 seats (Likud 32 + Religious Zionism/Otzma 12 + Shas 8 + UTJ 7), two short of the 61 needed; the author notes potential upside if Shaked voters shift right, but the poll itself shows a deadlock.",True,wayback,20220829064020
176,2022-08-29,7kanal.co.il,ru,ru,"""Если Нетаньяху не достигнет 61 мандата, произойдут изменения""",https://7kanal.co.il/News/News.aspx/243028,interview,politician_anti,bloc,Zeev Elkin,Gideon Sa'ar's Democratic Israel (part of National Camp / opposition to Netanyahu),,-0.7,0.75,opposition_forms_govt,,0.15,no61,Нетаньяху почти ни в одном опросе не доходит до 61 мандата. Как только Нетаньяху и его блок не достигнут 61 мандата... Нетаньяху на этот раз не получит 61 место.,Netanyahu almost never reaches 61 seats in any poll. As soon as Netanyahu and his bloc do not reach 61 seats... Netanyahu will not get 61 seats this time.,"Opposition politician Zeev Elkin confidently asserts Netanyahu's bloc will not reach 61 seats, citing polls, and predicts Beni Gantz will form an alternative government.",True,live,
177,2022-08-30,inn.co.il,he,he,"השר יועז הנדל: ""רץ עד הסוף, נדלג מעל אחוז החסימה""",https://inn.co.il/news/575842,interview,politician_bloc,anti,Yoaz Hendel,The Zionist Spirit (Haruach Hatzionit),,0.5,0.7,n/a,,0.75,bloc61,"אם אין את הרוח הציונית, לאחד הצדדים יש 61 - או שיש ממשלה של נתניהו ובן גביר, או שיש ממשלת שמאל-מרכז עם המשותפת... אני רץ עד הסוף","If there is no Zionist Spirit, one side has 61 – either a Netanyahu-Ben Gvir government or a left-center government with the Joint List, which in my view is not good for Israel and leads to elections. I am running to the end.","Yoaz Hendel (Zionist Spirit) argues his party will be the tiebreaker and that without it, either Netanyahu or a left-center coalition reaches 61, implying his party's kingmaker role.",True,live,
178,2022-08-31,israelnationalnews.com,en,il_en,"Minister Yoaz Hendel: We will pass the electoral threshold, I'm running till the end",https://israelnationalnews.com/news/358998,interview,politician_anti,anti,Yoaz Hendel,Zionist Spirit Party,,-0.5,0.6,deadlock,,0.25,no61,"If there is no Zionist Spirit, one of the parties has 61 [seats required to form a government] - either there is a government of Netanyahu and Ben Gvir, or there is a center-left government with the Joint List, which in my view is not good for the State of Israel and leads to elections.","If there is no Zionist Spirit, one of the parties has 61 [seats required to form a government] - either there is a government of Netanyahu and Ben Gvir, or there is a center-left government with the Joint List, which in my view is not good for the State of Israel and leads to elections.","Yoaz Hendel (Zionist Spirit, anti-Netanyahu camp) argues that without his party crossing the threshold, either Netanyahu+Ben Gvir or a center-left coalition would form, with the latter leading to new elections—implying the bloc majority is contingent and fragile.",True,live,
179,2022-08-31,israelnationalnews.com,en,il_en,This is not the way to reach 61!,https://israelnationalnews.com/news/359033,opinion,author,media,,Israel National News,59,-0.5,0.7,opposition_forms_govt,,0.25,no61,"The surveys that speak of 59 mandates for the Right and 55 for the Left are misleading. Hiding behind these numbers is just one conclusion – an apparent victory for the Left, which will supplement its missing mandates by forming a coalition with the Joint List party and with its erstwhile partners - the United Arab List party.","The surveys that speak of 59 mandates for the Right and 55 for the Left are misleading. Hiding behind these numbers is just one conclusion – an apparent victory for the Left, which will supplement its missing mandates by forming a coalition with the Joint List party and with its erstwhile partners - the United Arab List party.","The author warns that despite polls showing the Right at 59 seats, the bloc risks falling short of 61 and losing to a Left-Arab coalition unless Right-wing leaders urgently mobilize voters.",True,live,
180,2022-08-31,7kanal.co.il,ru,ru,Опрос: У правого блока меньше 60 мест,https://7kanal.co.il/News/News.aspx/243117,poll,poll,polls,Madgam,Madgam Institute,59,-0.4,0.85,deadlock,,0.3,no61,"правый блок получил бы всего 59 мест, если бы выборы состоялись сегодня. По результатам опроса партия «Ликуд» получит 33 места... ШАС получает восемь мест, «Яадут ха-Тора» - семь","the right-wing bloc would receive only 59 seats if elections were held today. According to the poll results, the Likud party will receive 33 seats... Shas receives eight seats, United Torah Judaism - seven","Madgam poll projects Netanyahu's right-wing bloc at 59 seats, below the 61-seat majority threshold, requiring defection from a left-center party for Netanyahu to form a government.",True,live,
181,2022-08-31,ynet.co.il,he,he,"מתן כהנא: ""במקום פולארד לא הייתי דואג, שקד תשלים לנתניהו ל-61""",https://ynet.co.il/news/article/rjeyes31o,interview,politician_bloc,anti,Matan Kahana,Mamlachti (State Camp); formerly Yamina,,0.5,0.65,n/a,,0.75,bloc61,"אם תעבור, היא תשלים לנתניהו את ה-61... נעשה הכל כדי שלנתניהו לא יהיו 61.","If [Shaked's list] passes [the threshold], it will complete 61 for Netanyahu... We are doing everything so Netanyahu does not have 61.","Kahana (State Camp) says if Shaked's list passes the threshold it will give Netanyahu 61 seats, but he and his party are working to prevent Netanyahu from reaching 61; Religious Zionism counters that only they can form a stable right-wing government.",False,live,
182,2022-09-04,srugim.co.il,he,he,"""תשלימי לנתניהו 61?"": צפו בתשובה של איילת שקד",https://srugim.co.il/708320-%D7%AA%D7%A9%D7%9C%D7%99%D7%9E%D7%99-%D7%9C%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-61-%D7%A6%D7%A4%D7%95-%D7%91%D7%AA%D7%A9%D7%95%D7%91%D7%94-%D7%A9%D7%9C-%D7%90%D7%99%D7%99%D7%9C%D7%AA-%D7%A9,interview,politician_bloc,anti,Ayelet Shaked,The Jewish Home (Habayit Hayehudi) / Spiritual Zionism (Ruach Tzionit),,0,0.6,unity_govt,,0.5,uncertain,"אם את האצבע ה-61 של נתניהו, האם את מאפשרת לו להרכיב ממשלה? לא. אנחנו הולכים לממשלה רחבה, יציבה, לאומית","If you are Netanyahu's 61st finger, will you allow him to form a government? No. We are going to a broad, stable, national government.","Ayelet Shaked (Spiritual Zionism) rejects being Netanyahu's 61st seat, stating her party aims for a broad, stable, national unity government instead.",False,live,
183,2022-09-06,inn.co.il,he,he,"מתן כהנא: מאז שגנץ נכנס לפוליטיקה, לנתניהו אין 61",https://inn.co.il/news/576624,interview,politician_anti,anti,Matan Kahana,Mamlakhtit (State Camp party),,-0.7,0.75,opposition_forms_govt,,0.15,no61,"אנחנו יודעים שמאז שגנץ נכנס לפוליטיקה נתניהו לא הצליח להביא 61 מנדטים, ואני מקווה שכך יהיה","We know that since Gantz entered politics Netanyahu has not managed to bring 61 mandates, and I hope it stays that way.","Matan Kahana (State Camp, anti-Netanyahu) asserts that Netanyahu has failed to reach 61 seats since Gantz entered politics and expresses hope this pattern continues, implying the opposition will form a broad coalition government.",True,live,
184,2022-09-06,walla.co.il,he,he,"בחירות 2022 - שקד: ""אין לימין 61""; מגל: ""היית הבטחה""",https://elections.walla.co.il/item/3528413,interview,politician_bloc,anti,Ayelet Shaked,Yamina / Right-wing bloc,,0.5,0.7,n/a,,0.75,bloc61,"אין ממשלה אחרת, רק ממשלה רחבה. אין ברירה אחרת, צריכה לקום פה ממשלה רחבה ויציבה, אי אפשר להשביע ממשלה על קולות המשותפת.","There is no other government, only a broad government. There is no other choice, a broad and stable government must be formed here, it is impossible to sustain a government on Arab votes.","Ayelet Shaked (Yamina/right-wing bloc) argues that Netanyahu's bloc will form the next government because there is no alternative and that Gantz and Saar will ultimately join Netanyahu, though she provides no seat projections.",True,live,
185,2022-09-07,kikar.co.il,he,he,"ח""כ מיקי זוהר: ""מודאג מפיצול 'יהדות התורה', זה יכול לגנוז את חלום ה-61""",https://kikar.co.il/haredim-news/426765,interview,politician_bloc,bloc,Miki Zohar,Likud,,0.35,0.65,n/a,,0.675,bloc61,"אני מסכים שעדיין לא השגנו את ה-61 בסקרים, אני חושב שבשטח לא התחילה ההתעוררות שצריכה להיות ואני חושב שהיא תתחיל... זה בר השגה.","I agree we haven't yet achieved 61 in the polls, I think the awakening on the ground hasn't started yet but I think it will... it is achievable.","Likud MK Miki Zohar expresses cautious optimism that the right-wing bloc can reach 61 seats, acknowledging current polls fall short but believing ground mobilization will close the gap; he also expresses concern about potential UTJ split that could endanger the goal.",True,live,
186,2022-09-07,kikar.co.il,he,he,"הדר מוכתר באולפן: ""אהיה האצבע ה-61 של נתניהו; ליברמן לא פרטנר""",https://kikar.co.il/%D7%94%D7%A8%D7%99%D7%90%D7%99%D7%95%D7%A0%D7%95%D7%AA/426704,interview,politician_bloc,anti,Hadar Mukhtar,The Young Burning (Hatzeirim HaBo'arim) party,,0.7,0.75,n/a,,0.85,bloc61,"אני השני מנדטים שנתניהו צריך, אני השני מנדטים... אין לי שום בעיה להיות האצבע ה-61.","I am the two seats Netanyahu needs, I am the two seats. I have no problem being the 61st finger [vote].","Hadar Mukhtar, a young candidate from The Young Burning party, declares she will be Netanyahu's crucial 61st seat and is willing to join his right-wing coalition if her demands are met, rejecting partnership with Lieberman.",False,live,
187,2022-09-08,kikar.co.il,he,he,"השר אלקין באולפן: אם נתניהו לא ישיג 61, אנחנו נצליח להרכיב ממשלה עם החרדים",https://kikar.co.il/haredim-news/426823,interview,politician_anti,anti,Ze'ev Elkin,Mamlachti Camp (State Camp),,-0.7,0.85,opposition_forms_govt,,0.15,no61,"מאז שקמה 'המחנה ממלכתי', אין סקר אחד שנתניהו חוצה את ה-61, ברוב הסקרים... ברגע שנצליח במשימה של שלב א' למנוע מנתניהו 61, אנחנו נצליח להרכיב ממשלה","Since the Mamlachti Camp was formed, there is not a single poll where Netanyahu crosses 61, in most polls... Once we succeed in the mission of stage one to prevent Netanyahu from reaching 61, we will succeed in forming a government","Ze'ev Elkin (Mamlachti Camp) asserts that Netanyahu's bloc will not reach 61 seats in most polls, and that if they prevent him from doing so, they can form an alternative government with support from haredi parties.",True,live,
188,2022-09-08,israelhayom.com,en,il_en,likud hopes high ahead of election victory strategy to focus on voter turnout,https://israelhayom.com/2022/09/08/likud-hopes-high-ahead-of-election-victory-strategy-to-focus-on-voter-turnout,news,politician_bloc,bloc,Likud officials,Likud,,0.7,0.75,n/a,,0.85,bloc61,"The goal – garnering 61 seats and forming a right-wing government – seems within reach and the assessment among Likud officials is that with proper and precise action, they will succeed.","The goal – garnering 61 seats and forming a right-wing government – seems within reach and the assessment among Likud officials is that with proper and precise action, they will succeed.",Likud officials assess that their 61-seat goal for a right-wing government is within reach with proper execution of their voter turnout strategy.,True,live,
189,2022-09-09,9tv.co.il,ru,ru,"Предвыборный опрос ""Маарива"": политическая ситуация остается крайне запутанной",https://9tv.co.il/item/49259,poll,poll,polls,Panels Politics,Panels Politics (for Ma'ariv),59,-0.4,0.95,deadlock,,0.3,no61,"«Ликуд» и партии, поддерживающие Нетаниягу, получают 59 мандатов. Для формирования коалиции им нужно вступать в переговоры с арабскими партиями, что проблематично с учетом позиции Смотрича и Бен-Гвира, либо искать перебежчиков в противоположном лагере.","Likud and parties supporting Netanyahu receive 59 seats. To form a coalition, they need to enter negotiations with Arab parties, which is problematic given the position of Smotrich and Ben-Gvir, or seek defectors from the opposite camp.",Panels Politics poll for Ma'ariv projects Netanyahu's bloc at 59 seats—short of the 61-seat majority needed—forcing difficult coalition negotiations with Arab parties or opposition defectors.,True,wayback,20220909135827
190,2022-09-09,middleeastmonitor.com,en,intl,"Israel to remain in political deadlock, poll finds ahead of November elections",https://middleeastmonitor.com/20220909-israel-to-remain-in-political-deadlock-poll-finds-ahead-of-november-elections,poll,poll,polls,Maariv,Maariv (Israeli daily newspaper),59,-0.4,0.85,deadlock,,0.3,no61,"A new opinion poll released on Friday in Israel found that the country could remain in political deadlock after upcoming elections in November, with none of the major sides poised to gain enough votes to form a government... The poll published by the daily, Maariv, showed the bloc of opposition leader, Benjamin Netanyahu, securing 59 seats.","A new opinion poll released on Friday in Israel found that the country could remain in political deadlock after upcoming elections in November, with none of the major sides poised to gain enough votes to form a government... The poll published by the daily, Maariv, showed the bloc of opposition leader, Benjamin Netanyahu, securing 59 seats.","A Maariv poll projects Netanyahu's bloc at 59 seats, below the 61-seat majority threshold, predicting political deadlock with neither major bloc able to form a government.",True,live,
191,2022-09-09,srugim.co.il,he,he,סקר הסקרים: גוש הימין נחלש ומתרחק מ-61,https://srugim.co.il/710345-%d7%a1%d7%a7%d7%a8-%d7%94%d7%a1%d7%a7%d7%a8%d7%99%d7%9d-%d7%92%d7%95%d7%a9-%d7%94%d7%99%d7%9e%d7%99%d7%9f-%d7%a0%d7%97%d7%9c%d7%a9-%d7%95%d7%9e%d7%aa%d7%a8%d7%97%d7%a7-%d7%9e-61,poll,poll,polls,Kan 11 (כאן 11) / Samuel Rosner,Kan 11 (Israeli public broadcaster),59,-0.6,0.85,deadlock,,0.2,no61,"גוש הימין ממשיך את מגמת ההיחלשות של השבועות האחרונים. אחרי שבשבוע שעבר הוא היה על סף המנדט ה-61, השבוע הוא רחוק מהיעד בשני מנדטים.","The right-wing bloc continues the weakening trend of recent weeks. After being on the verge of the 61st mandate last week, this week it is far from the target by two mandates.","Kan 11's poll aggregator (Rosner) projects Netanyahu's right-wing bloc at 59 seats, down from near 61 the previous week, indicating it will fall short of a majority.",True,live,
192,2022-09-10,maariv.co.il,he,he,בחירות 2022: באיזה תרחיש יתחיל המשחק הגדול עבור גוש המרכז־שמאל?,https://maariv.co.il/journalists/Article-944586,analysis,author,media,,Ma'ariv,,0,0.7,unclear,,0.5,uncertain,"אם לנתניהו לא יהיו 61 מנדטים - הכל פתוח... ב־2 בנובמבר יתעורר נתניהו כראש ממשלת ישראל או בדרכו להיות יו""ר הליכוד לשעבר.","If Netanyahu does not have 61 mandates—everything is open... On November 2, Netanyahu will wake up as Prime Minister of Israel or on his way to being the former Likud chairman.","The author presents a balanced analysis of the 2022 election framed around the binary question of whether Netanyahu's bloc will reach 61 seats, with both camps acknowledging this as the decisive threshold, but offers no directional prediction.",True,live,
193,2022-09-11,timesofisrael.com,en,il_en,"Arab turnout may hold the key to election, but for the pro- or anti-Netanyahu bloc?",https://timesofisrael.com/arab-turnout-may-hold-the-key-to-election-but-for-the-pro-or-anti-netanyahu-bloc,analysis,analyst,media,Simon Davies and Joshua Hantman,Number 10 Strategies,,0,0.6,unclear,,0.5,uncertain,"Therefore, the prevailing wisdom — that if Arab turnout significantly increases, and if Arab parties once again move beyond the 10-12 mandate mark, Netanyahu is unlikely to get be able to form a coalition — may be misplaced. There would be stiff opposition from Religious Zionism, but Ra'am, the Islamist party, could technically become the kingmaker for Netanyahu.","Therefore, the prevailing wisdom — that if Arab turnout significantly increases, and if Arab parties once again move beyond the 10-12 mandate mark, Netanyahu is unlikely to get be able to form a coalition — may be misplaced. There would be stiff opposition from Religious Zionism, but Ra'am, the Islamist party, could technically become the kingmaker for Netanyahu.",Analysts Davies and Hantman argue that conventional wisdom underestimates Netanyahu's path to 61 seats: Arab turnout volatility and Ra'am's potential kingmaker role could enable a Netanyahu coalition despite opposition from Religious Zionism.,True,wayback,20220911103756
194,2022-09-11,ynet.co.il,he,he,"שקד על סף חתימה עם הבית היהודי, בליכוד עדיין מגבשים אסטרטגיה מולה",https://ynet.co.il/news/election2022/article/sj6e8cslo,news,author,media,,ynet.co.il,,0,0.4,unclear,,0.5,uncertain,"חלק מהסקרים הראו בעבר כי הימצאותה של שקד על המפה הפוליטית משפרת את סיכויו של נתניהו להגיע ל-61 ואף לחצות את המספר הנדרש לקבלת המנדט, אולם כרגע הוא מתכוון לעבוד במרץ כדי שכוחה יהיה קטן ככל הניתן.","Some polls previously showed that Shaked's presence on the political map improves Netanyahu's chances of reaching 61 and even crossing the number required to receive the mandate, but now he intends to work hard so that her strength will be as small as possible.","The author reports that some past polls showed Shaked's presence could help Netanyahu reach 61 seats, but Likud is now uncertain about strategy and concerned about wasted votes if her list fails to pass the threshold.",True,live,
195,2022-09-11,ahram.org.eg,ar,ar,استطلاع إسرائيلي: معسكر نتنياهو لن يحصل إلا على 59 مقعدًا حال أجريت الانتخابات الآن,https://gate.ahram.org.eg/News/3691806.aspx,poll,poll,polls,Channel 12,Channel 12 (Israeli television),59,-0.4,0.95,deadlock,,0.3,no61,"أظهر أحدث استطلاع للرأي أجرته القناة 12 الإسرائيلية ونشرت نتائجه الليلة، أن المعسكر الذي يقوده زعيم حزب ""الليكود"" بنيامين نتنياهو، لن يحصل إلا على 59 مقعدًا، إذا أجريت الانتخابات الآن",The latest poll conducted by Israeli Channel 12 and published tonight shows that the bloc led by Likud party leader Benjamin Netanyahu will only get 59 seats if elections were held now,"Channel 12 poll projects Netanyahu's bloc at 59 seats (2 short of 61-seat majority), indicating a deadlock scenario if elections were held on the poll date.",True,wayback,20220910235320
196,2022-09-12,haaretz.com,en,il_en,00000183 3149 d6c9 a197 794d4bcf0000,https://haaretz.com/israel-news/elections/2022-09-12/ty-article/.premium/the-magic-number-aaron-judge-benjamin-netanyahu-and-yair-lapid-are-all-chasing/00000183-3149-d6c9-a197-794d4bcf0000,analysis,author,media,,Haaretz,,-0.5,0.6,deadlock,,0.25,no61,Judge seems more likely to get there,Judge seems more likely to get there,"Haaretz analysis suggests Netanyahu is less likely than Aaron Judge to reach his target number (61 seats for coalition, 61 home runs for Judge), implying skepticism about Netanyahu's bloc reaching 61.",True,live,
197,2022-09-12,bhol.co.il,he,he,"סקר מנדטים חדש, 50 יום לבחירות: כמה שווה מפלגה בראשות בנט",https://bhol.co.il/news/1439373,poll,poll,polls,Maagar Mohot,Maagar Mohot / Yisrael Hayom,59,-0.4,0.85,deadlock,,0.3,no61,"סקר שערך מכון 'מאגר מוחות' ופורסם באתר 'ישראל היום' מעריך כי לו הבחירות היו מתקיימות היום, גוש נתניהו היה משיג 59 מנדטים","A poll conducted by the Maagar Mohot institute and published on Yisrael Hayom estimates that if elections were held today, Netanyahu's bloc would achieve 59 seats.","Maagar Mohot poll projects Netanyahu's bloc at 59 seats (2 short of 61), but notes that a Labor-Meretz union would paradoxically boost the bloc to 61 seats.",True,wayback,20220912190129
198,2022-09-12,ynet.co.il,he,he,"יו""ר הבית היהודי: ""שקד? יהיה הסכם. בן גביר? את הקצוות צריך להשאיר בקצוות""",https://ynet.co.il/news/election2022/article/bkibms2li,news,politician_bloc,anti,Yossi Brodny,Habayit Hayehudi (Jewish Home),,0,0.3,unclear,,0.5,uncertain,"אנחנו מחזיקים סקרים שבהם אנחנו עוברים את אחוז החסימה, בסקר שלנו האיחוד מביא חמישה מנדטים. ממשלה של נתניהו, החרדים ובן גביר תהיה פחות יציבה.",We hold polls in which we pass the threshold; in our poll the union brings five seats. A Netanyahu government with the Haredim and Ben-Gvir will be less stable.,"Yossi Brodny (Habayit Hayehudi chair) expresses cautious support for a right-wing government with Netanyahu but warns it would be unstable with Ben-Gvir and the Haredim; he claims internal polls show his party passing the threshold, while Religious Zionism figures dismiss concerns about right-wing vote fragmentation.",True,live,
199,2022-09-12,ynet.co.il,he,he,"יצטרך 61, וייבחן בבג""ץ: ""התחייבות נתניהו תגזור בורות על הצעירים החרדים""",https://ynet.co.il/news/election2022/article/h1jw2phxs,news,author,media,,ynet.co.il,,0,0.3,unclear,,0.5,uncertain,אבל אותה התחייבות כמובן לא תהיה בתוקף אם גוש הימין-חרדים של נתניהו לא ישיג 61 מנדטים,But that commitment will of course not be in effect if Netanyahu's right-haredi bloc does not achieve 61 mandates,"The author reports Netanyahu's budget commitments to haredi parties conditional on the right-haredi bloc achieving 61 seats, but does not project whether this will occur; opposition figures criticize the deal.",True,live,
200,2022-09-13,inn.co.il,he,he,"ח""כ ניר אורבך באולפן ערוץ 7: הציבור הדתי לאומי המתלבט יכריע את הבחירות",https://inn.co.il/news/577241,interview,politician_bloc,anti,Nir Orbach,"Knesset member, right-wing bloc",,-0.5,0.75,deadlock,,0.25,no61,באף סקר אין לגוש ימין 61 מנדטים. את מערכת הבחירות הזו לדעתי יכריע ציבור דתי לאומי שנאמד בבין שניים לארבעה מנדטים,"In no poll does the right-wing bloc have 61 seats. In my view, this election system will be decided by the national-religious public estimated at between two to four seats who will not vote for Likud and will not vote for the Religious Zionism party.","Nir Orbach (right-wing Knesset member) states that no current poll shows the right-wing bloc reaching 61 seats, and that swing voters from the national-religious community (2-4 seats) will be decisive, implying the bloc currently falls short of a majority.",True,live,
201,2022-09-13,israelinfo.co.il,ru,ru,Опрос: объединение Аводы и МЕРЕЦ ничего не меняет в «ничейном» исходе выборов,https://news.israelinfo.co.il/105512,poll,poll,polls,KAN Hadashot,KAN Hadashot (Israeli TV channel),60,-0.4,0.85,deadlock,,0.3,no61,"Вместе с 12 мандатами «Религиозных сионистов», 9 у ШАС и 7 у «Еврейства Торы» у лагеря Нетаниягу — 60 мандатов.","Together with 12 seats for Religious Zionists, 9 for Shas and 7 for United Torah Judaism, Netanyahu's bloc has 60 seats.","A KAN Hadashot poll projects Netanyahu's bloc at 60 seats (Likud 32 + Religious Zionists 12 + Shas 9 + United Torah Judaism 7), one short of a majority, indicating a deadlock outcome.",True,live,
